,Position,Track Name,Artist,Streams,URL,Song ID,index,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
83,84,Noticed,Lil Mosey,2610909,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP,6JQvHMSaR8flFsN53ypOfP,33,0.462,https://api.spotify.com/v1/audio-analysis/6JQvHMSaR8flFsN53ypOfP,0.699,165000,0.558,6JQvHMSaR8flFsN53ypOfP,0.0,11,0.116,-7.622,1,0.0603,79.992,4,https://api.spotify.com/v1/tracks/6JQvHMSaR8flFsN53ypOfP,audio_features,spotify:track:6JQvHMSaR8flFsN53ypOfP,0.493
84,85,Yes Indeed,Lil Baby,2606963,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,6vN77lE9LK6HP2DewaN6HZ,34,0.035,https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ,0.964,142273,0.346,6vN77lE9LK6HP2DewaN6HZ,0.0,5,0.108,-9.309,0,0.53,119.958,4,https://api.spotify.com/v1/tracks/6vN77lE9LK6HP2DewaN6HZ,audio_features,spotify:track:6vN77lE9LK6HP2DewaN6HZ,0.562
85,86,Old Town Road,Lil Nas X,2590255,https://open.spotify.com/track/2pMl9Sx4glsuk5ikZtFBtX,2pMl9Sx4glsuk5ikZtFBtX,35,0.0365,https://api.spotify.com/v1/audio-analysis/2pMl9Sx4glsuk5ikZtFBtX,0.909,113006,0.517,2pMl9Sx4glsuk5ikZtFBtX,1.73e-06,1,0.0949,-6.063,1,0.129,136.012,4,https://api.spotify.com/v1/tracks/2pMl9Sx4glsuk5ikZtFBtX,audio_features,spotify:track:2pMl9Sx4glsuk5ikZtFBtX,0.471
86,87,"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,2584359,https://open.spotify.com/track/1JkrD47SDpAbyvqKtolcea,1JkrD47SDpAbyvqKtolcea,36,0.0364,https://api.spotify.com/v1/audio-analysis/1JkrD47SDpAbyvqKtolcea,0.911,297546,0.721,1JkrD47SDpAbyvqKtolcea,0.0,10,0.111,-4.833,0,0.28,104.11,4,https://api.spotify.com/v1/tracks/1JkrD47SDpAbyvqKtolcea,audio_features,spotify:track:1JkrD47SDpAbyvqKtolcea,0.69
87,88,Ric Flair Drip (& Metro Boomin),Offset,2545723,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,7sO5G9EABYOXQKNPNiE9NR,37,0.149,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,0.88,172800,0.428,7sO5G9EABYOXQKNPNiE9NR,5.07e-05,9,0.114,-8.28,1,0.206,100.007,4,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,audio_features,spotify:track:7sO5G9EABYOXQKNPNiE9NR,0.333
88,89,Psycho (feat. Ty Dolla $ign),Post Malone,2536131,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,3swc6WTsr7rl9DqQKQA55C,38,0.58,https://api.spotify.com/v1/audio-analysis/3swc6WTsr7rl9DqQKQA55C,0.739,221440,0.559,3swc6WTsr7rl9DqQKQA55C,0.0,8,0.112,-8.011,1,0.117,140.124,4,https://api.spotify.com/v1/tracks/3swc6WTsr7rl9DqQKQA55C,audio_features,spotify:track:3swc6WTsr7rl9DqQKQA55C,0.439
89,90,idontwannabeyouanymore,Billie Eilish,2498560,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,40T5GIqQ1CegGm2PTEl8Bu,39,0.737,https://api.spotify.com/v1/audio-analysis/40T5GIqQ1CegGm2PTEl8Bu,0.483,203569,0.412,40T5GIqQ1CegGm2PTEl8Bu,0.0,7,0.116,-8.461,1,0.0402,170.163,3,https://api.spotify.com/v1/tracks/40T5GIqQ1CegGm2PTEl8Bu,audio_features,spotify:track:40T5GIqQ1CegGm2PTEl8Bu,0.247
90,91,ghostin,Ariana Grande,2493476,https://open.spotify.com/track/4lD7gHKF1e8Y9stQuVezZB,4lD7gHKF1e8Y9stQuVezZB,40,0.422,https://api.spotify.com/v1/audio-analysis/4lD7gHKF1e8Y9stQuVezZB,0.396,271467,0.358,4lD7gHKF1e8Y9stQuVezZB,1.71e-05,9,0.19,-8.294,1,0.0292,103.807,4,https://api.spotify.com/v1/tracks/4lD7gHKF1e8Y9stQuVezZB,audio_features,spotify:track:4lD7gHKF1e8Y9stQuVezZB,0.111
91,92,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2442094,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,41,0.153,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,0.841,212500,0.798,4w8niZpiMy6qz1mntFA5uM,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,audio_features,spotify:track:4w8niZpiMy6qz1mntFA5uM,0.591
92,93,Fuck Love (feat. Trippie Redd),XXXTENTACION,2437210,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,7AQim7LbvFVZJE3O8TYgf2,42,0.0172,https://api.spotify.com/v1/audio-analysis/7AQim7LbvFVZJE3O8TYgf2,0.797,146520,0.533,7AQim7LbvFVZJE3O8TYgf2,0.000152,0,0.103,-9.74,0,0.0412,131.036,4,https://api.spotify.com/v1/tracks/7AQim7LbvFVZJE3O8TYgf2,audio_features,spotify:track:7AQim7LbvFVZJE3O8TYgf2,0.329
